ID,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral
S8_C_N_9,168.26,96.367,102.19,80.74,56.73,33.77
S8_C_N_10,176.15,95.87,101.87,84.373,58.031,32.733
S8_C_N_11,167.066,87.076,89.677,84.275,53.446,26.469
S8_C_N_12,185.357,91.271,119.225,85.56,58.684,37.65
K8_C_N_11,169.427,138.219,105.582,83.44,57.492,33.32
K8_C_N_12,176.36,120.902,104.216,80.86,54.892,31.789
K8_C_N_10,164.14,89.469,94.944,89.583,60.385,33.956
S8_H_N_9,131.72,61.154,64.753,86.998,65.68,50.18
S8_H_N_10,171.57,102.22,109.08,125.01,101.03,76.78
S8_H_N_11,174.43,120.433,118.6,121.19,96.01,72.18
S8_H_N_12,161.123,99.163,100.527,124.66,100.37,81.25
K8_H_N_9,165.35,96.96,98.97,138.3,119.72,99.24
K8_H_N_10,164.15,90.41,98.89,135.89,120.53,101.121
K8_H_N_11,155.776,106.71,112.59,130.87,115.1,97.62
K8_H_N_12,153.722,90.87,85.52,144.68,130.46,117.65
S10_C_N_9,168.42,97.11,108.14,93.42,65.08,36.07
S10_C_N_10,165.68,92.21,103.07,78.16,54.04,24.62
S10_C_N_11,172.68,116.4,113.86,80.37,53.92,28.44
S10_C_N_12,176.46,97.94,101.15,90.19,54.32,27.36
K10_C_N_9,167.57,97.052,102.57,103.04,74.56,42.28
K10_C_N_10,175.98,91.24,66.53,102.85,70.16,40.38
K10_C_N_11,164.5,97.64,99.63,93.48,70.18,34.9
K10_C_N_12,165.06,97.92,102.17,92.65,63.185,33.75
S10_H_N_9,155.87,81.29,92.73,88.88,64.33,38.632
S10_H_N_10,166.62,101.118,102.41,99.37,73.02,47.06
S10_H_N_11,178.93,108.31,115.28,99.3,70.59,49.88
S10_H_N_12,177.86,110.96,114.75,99.16,71.85,48.16
K10_H_N_9,169.52,112.27,113.7,108.69,81.99,53.45
K10_H_N_10,162.61,105.27,116,107.57,82.411,53.99
K10_H_N_11,161.89,103.49,93.48,114.51,86.08,58.75
K10_H_N_12,170.65,117.98,124.491,120.15,95.89,66.17
S12_C_N_9,167.8,93.343,94.23,72.93,29.26,28.61
S12_C_N_10,179.8,100.95,109.05,64.14,42.64,23.85
S12_C_N_11,177.77,97.85,111.67,68.49,44.79,26.1
K12_C_N_9,172.76,102.51,116.44,85.099,58.09,32.96
K12_C_N_10,163.9,93.47,90.86,87.1,59.49,35.29
K12_C_N_11,170.28,98.59,109.97,89.28,59.23,31.83
K12_C_N_12,190.27,107.25,130.23,90.08,64.78,36.81
S12_H_N_9,171.41,87.21,93.83,96.96,68.91,45.87
S12_H_N_11,161.52,91.57,70.72,135.34,113.27,98.52
S12_H_N_12,154.49,94.22,86.96,116.8,95.44,78.37
K12_H_N_9,161.82,89.19,92.17,125.69,102.04,81.27
K12_H_N_11,163.11,91.9,94.84,142.87,124.67,110.69
K12_H_N_12,152.45,94.55,108.6,118.99,101.82,81.72
S12_C_N_8,143.227,64.671,73.428,61.104,38.951,20.08
S8_C_N_5,150.275,67.551,79.127,80.477,51.75,27.07
S8_C_N_7,151.665,74.875,89.546,78.029,56.01,29.472
K10_C_N_8,143.59,63.999,72.547,106.459,78.108,44.045
K12_C_N_8,149.017,65.651,65.066,95.356,64.66,43.365
K8_C_N_8,143.886,63.956,72.417,104.592,74.357,42.294
K10_H_N_7,148.211,65.301,66.95,119.129,90.03,63.054
S8_C_N_8,136.027,58.688,67.541,70.11,46.861,25.038
S8_C_N_6,133.27,63.216,76.81,73.185,50.74,22.78
K10_C_N_5,145.457,63.179,71.137,106.287,78.244,45.89
K8_C_N_6,126.041,58.409,73.291,82.069,60.054,30.434
K8_H_N_8,135.2,59.184,69.396,135.597,121.709,103.878
S12_C_N_6,138.692,63.026,78.103,61.342,42.223,21.589
S12_H_N_8,137.303,59.802,68.716,76.252,52.439,30.386
K8_C_N_5,140.148,59.715,69.395,85.325,59.754,33.332
S8_H_N_5,144.563,62.678,71.983,117.278,95.417,69.974
S10_H_N_7,136.845,57.426,61.459,94.285,66.347,38.834
K10_H_N_5,141.848,60.561,70.291,117.641,91.599,63.223
K12_C_N_5,141.306,62.179,70.867,81.143,60.081,40.552
K8_H_N_6,141.495,62.267,69.688,124.412,104.167,81.276
S8_H_N_7,139.423,57.651,63.693,109.044,83.71,60.305
S12_H_N_5,142.892,63.571,72.715,76.886,54.474,33.855
K10_H_N_6,134.95,57.915,66.474,118.907,95.893,68.299
K10_C_N_6,148.89,65.19,72.084,97.48,65.29,37.42
K12_C_N_6,143.98,61.96,66.703,94.83,65.602,43.74
S10_C_N_5,138.85,62.77,69.82,91.75,61.45,31.47
S10_C_N_6,135.48,61.58,77.72,82.07,58.38,27.91
S12_C_N_5,156.98,68.82,76.24,69.28,44.37,22.93
K8_C_N_7,142.06,61.77,70.5,86.37,60.49,35.01
K10_C_N_7,138.52,59.86,66.6,94.21,64.81,35.04
K12_C_N_7,143.74,60.95,71.07,85.1,60.9,38.52
S10_C_N_7,145.82,65.37,72.49,82.16,52.55,25.78
S10_C_N_8,121.13,51.08,49.8,70.33,41.54,21.94
S12_C_N_7,138.45,59.33,66.86,68.16,43.36,23.69
K8_H_N_5,143.18,65.6,74.03,144.06,124.16,100.44
K12_H_N_5,115.84,44.16,45.15,109.83,80.99,58.72
K12_H_N_6,139.01,59.07,68.3,108.23,88.24,65.05
S8_H_N_6,142.26,61.59,68.87,120.05,99.67,74.24
S10_H_N_5,133.69,60.58,76.36,95.55,74.98,44.98
S10_H_N_6,137.95,59.69,66.97,90.385,62.74,32.74
S12_H_N_6,113.52,43.82,42.87,77.62,54.96,39.74
K8_H_N_7,136.34,61.91,72.61,140.15,123.7,102.79
K10_H_N_8,125.11,48.34,49.33,93.75,64.32,40.32
K12_H_N_7,143.17,63.78,71.69,108.55,79.29,49.27
K12_H_N_8,140.2,58.81,67.61,108.05,84.71,60.29
S10_H_N_8,150.15,66.36,74.74,102.17,69.94,37.38
S12_H_N_7,135.61,58.37,65.73,108.15,85.99,62.02
S8_C_N_4,152,73,76,97,69,38
S8_C_N_3,160,75,78,101,67,38
K8_C_N_4,159,76,85,112,87,50
K8_C_N_3,137,66,68,96,71,42
S12_C_N_4,137,66,68,96,71,33
S12_C_N_3,139,63,62,86,59,54
K12_C_N_4,168,76,81,121,88,68
K12_C_N_3,169,76,81,127,95,74
K10_C_N_3,167,65,74,132,100,62
K10_C_N_4,142,65,67,116,87,54
K10_C_N_2,141,59,67,112,85,49
K10_C_N_1,155,75,83,112,86,54
S10_C_N_1,148,64,80,92,67,37
S8_C_N_1,161,75,79,100,70,41
K12_C_N_1,157,67,77,98,74,49
K12_C_N_2,148,69,79,107,85,58
S12_C_N_2,149,70,82,90,71,48
S10_H_N_1,156,63,72,109,86,57
S10_H_N_2,166,68,77,117,87,56
K10_H_N_1,128,50,52,116,93,63
K10_H_N_2,161,63,72,128,103,75
K12_H_N_2,182,67,47,117,87,60
K12_H_N_1,175,71,90,121,97,73
S12_H_N_2,161,76,90,87,63,38
S12_H_N_1,148,66,73,133,113,91
K8_H_N_2,150,68,85,148,133,108
K8_H_N_1,148,75,76,154,135,111
K12_H_N_3,148,65,72,131,105,80
K12_H_N_4,149,61,69,131,112,92
S8_H_N_3,143,65,68,136,116,92
S12_H_N_4,131,64,61,119,101,80
S8_H_N_4,150,67,72,134,112,87
S10_C_N_4,143,59,71,100,70,36
S10_C_N_3,150,64,83,100,73,40
S8_H_N_1,150,74,75,135,114,86
S8_H_N_2,134,54,59,127,104,76
K8_H_N_4,140,64,68,150,140,125
K8_H_N_3,151,66,70,147,132,115
S10_H_N_4,161,75,85,128,108,75
S10_H_N_3,149,68,71,109,86,59
K10_H_N_3,150,71,77,124,100,75
K10_H_N_4,147,63,58,123,95,68
K8_C_N_13,138.048,71.48,84.007,95.834,72.495,39.159
K8_C_N_14,145.575,76.002,81.427,109.48,81.59,47.657
K8_C_N_15,142.95,75.336,87.25,97.58,72.97,42.364
K8_C_N_16,163.221,79.76,89.722,99.53,69.036,39
S8_C_N_13,156,78.94,83.415,76.195,48.602,22
S8_C_N_14,146.34,71.28,77.04,73.227,46.49,22.9
S8_C_N_15,149.992,69.717,75.675,76.078,49.937,26.091
S8_C_N_16,153.291,73.43,83.769,82.86,56.069,29.062
K8_H_N_13,166.94,88.079,95.718,133.678,107.612,78.952
K8_H_N_14,153.44,81.504,94.193,125.315,102.72,72.87
K8_H_N_15,149.67,73.17,76.485,122.789,93.94,66.739
K8_H_N_16,156.39,81.67,87.812,128.185,105.091,78.345
S8_H_N_13,166.325,78.768,93.27,115.32,93.255,72.224
S8_H_N_14,162.517,85.21,93.55,109.978,86.76,62.229
S8_H_N_15,132.073,63.382,62.89,90.52,61.468,43.55
S8_H_N_16,157.64,82.57,92.297,115.558,89.089,62.007
K10_C_N_13,150.375,76.6,86.18,105.073,77.765,44
K10_C_N_14,151.84,76.26,84.203,107.57,80.966,49.54
K10_C_N_15,150.76,72.401,84.455,100.401,72.4,41.21
K10_C_N_16,157.35,82.079,93.081,107.107,80.083,41.931
S10_C_N_13,130.29,68.46,74.78,74.45,49.655,22.166
S10_C_N_14,164.527,73.54,71.926,84.34,48.68,27.86
S10_C_N_15,143.835,81.47,85.423,88.152,62.028,33.52
S10_C_N_16,145.93,71.64,75.926,88.982,61.248,33.73
K10_H_N_13,162.743,84.397,96.11,113.732,90.621,66.119
K10_H_N_14,170.4,84.26,95.306,107.413,76.859,49.913
K10_H_N_15,152.28,85.75,92.821,98.328,69.069,34.143
