RandN,ID,TimeP,Site,Genotype,Treat,Treatment,Vol_ml,Wax.I_g,Wax.F_g
W1_1,S8_C_N_3,W1,SS,AC8,C,Control,16,2.987,3.705
W1_2,S12_C_N_3,W1,SS,AC12,C,Control,17,5.588,6.759
W1_5,S10_H_N_3,W1,SS,AC10,H,Heat,9.5,4.089,4.984
W1_6,K12_H_N_2,W1,KL,AC12,H,Heat,12,5.223,6.015
W1_7,K10_H_N_1,W1,KL,AC10,H,Heat,7,3.786,4.455
W1_8,S8_C_N_4,W1,SS,AC8,C,Control,17,7.661,9.225
W1_9,K10_C_N_2,W1,KL,AC10,C,Control,10,2.225,2.69
W1_10,K12_H_N_4,W1,KL,AC12,H,Heat,11,4.882,5.719
W1_15,K10_H_N_4,W1,KL,AC10,H,Heat,8.1,2.387,2.824
W1_18,S10_H_N_2,W1,SS,AC10,H,Heat,14.5,3.86,4.628
W1_20,K8_C_N_4,W1,KL,AC8,C,Control,25,4.55,5.375
W1_22,S8_H_N_3,W1,SS,AC8,H,Heat,23.5,5.507,6.889
W1_25,K12_H_N_3,W1,KL,AC12,H,Heat,13.3,4.473,5.353
W1_28,K12_C_N_4,W1,KL,AC12,C,Control,11.1,4.412,5.065
W1_29,S10_C_N_4,W1,SS,AC10,C,Control,12.2,5.548,6.625
W1_32,S12_H_N_1,W1,SS,AC12,H,Heat,8.7,5.276,6.277
W1_33,S12_H_N_2,W1,SS,AC12,H,Heat,6.2,2.153,2.673
W1_35,K8_H_N_4,W1,KL,AC8,H,Heat,8.4,2.83,4.733
W1_38,S8_C_N_2,W1,SS,AC8,C,Control,23,6.881,8.937
W1_40,S8_H_N_2,W1,SS,AC8,H,Heat,6.6,6.263,7.694
W1_41,K10_H_N_2,W1,KL,AC10,H,Heat,7,3.169,3.781
W1_42,K8_H_N_1,W1,KL,AC8,H,Heat,8.5,4.54,5.538
W1_44,K8_C_N_3,W1,KL,AC8,C,Control,8.7,2.543,3.062
W1_46,S12_C_N_2,W1,SS,AC12,C,Control,19,3.845,4.409
W1_47,S12_H_N_4,W1,SS,AC12,H,Heat,20.2,6.333,7.403
W1_52,K12_H_N_1,W1,KL,AC12,H,Heat,8.8,1.588,1.907
W1_53,S8_H_N_1,W1,SS,AC8,H,Heat,19,8.084,9.721
W1_55,K12_C_N_3,W1,KL,AC12,C,Control,17,2.944,3.551
W1_58,S8_C_N_1,W1,SS,AC8,C,Control,18,7.103,8.776
W1_59,S12_C_N_4,W1,SS,AC12,C,Control,15,4.567,5.6
W1_60,K10_H_N_3,W1,KL,AC10,H,Heat,12.5,2.306,2.675
W1_63,K12_C_N_1,W1,KL,AC12,C,Control,15,4.156,4.863
W1_64,S10_C_N_3,W1,SS,AC10,C,Control,14,3.174,3.817
W1_65,K10_C_N_1,W1,KL,AC10,C,Control,9.5,3.614,4.286
W1_66,S10_H_N_4,W1,SS,AC10,H,Heat,8.4,1.758,2.124
W1_69,S10_H_N_1,W1,SS,AC10,H,Heat,9.7,5.767,6.777
W1_71,S10_C_N_1,W1,SS,AC10,C,Control,19,4.506,5.55
W1_76,S12_H_N_3,W1,SS,AC12,H,Heat,8.8,2.726,3.515
W1_77,K12_C_N_2,W1,KL,AC12,C,Control,9,3.676,4.423
W1_79,S10_C_N_2,W1,SS,AC10,C,Control,5.7,3.684,4.439
W1_80,K8_C_N_1,W1,KL,AC8,C,Control,10.4,6.427,7.826
W1_84,S8_H_N_4,W1,SS,AC8,H,Heat,4.8,6.309,7.642
W1_85,K10_C_N_3,W1,KL,AC10,C,Control,17,5.42,6.347
W1_86,K8_H_N_2,W1,KL,AC8,H,Heat,17,4.321,5.195
W1_87,S12_C_N_1,W1,SS,AC12,C,Control,22,3.738,4.428
W1_88,K10_C_N_4,W1,KL,AC10,C,Control,7,3.266,3.876
W1_91,K8_C_N_2,W1,KL,AC8,C,Control,15,3.878,4.7
W1_95,K8_H_N_3,W1,KL,AC8,H,Heat,8.5,2.949,3.616
W2_1,S12_C_N_8,W2,SS,AC12,C,Control,24,4.4,5.385
W2_4,S8_C_N_5,W2,SS,AC8,C,Control,16,7.002,8.735
W2_5,S8_C_N_7,W2,SS,AC8,C,Control,22,4.387,5.569
W2_10,K10_C_N_8,W2,KL,AC10,C,Control,6,4.106,4.728
W2_15,K12_C_N_8,W2,KL,AC12,C,Control,10.2,3.165,3.745
W2_19,K8_C_N_8,W2,KL,AC8,C,Control,27.5,6.491,7.805
W2_21,K10_H_N_7,W2,KL,AC10,H,Heat,7.5,3.469,4.084
W2_25,S8_C_N_8,W2,SS,AC8,C,Control,11.9,3.296,4.097
W2_26,S8_C_N_6,W2,SS,AC8,C,Control,10.6,4.889,5.825
W2_27,K10_C_N_5,W2,KL,AC10,C,Control,10.2,3.158,3.745
W2_28,K8_C_N_6,W2,KL,AC8,C,Control,7.2,4.26,4.908
W2_30,K8_H_N_8,W2,KL,AC8,H,Heat,4.7,6.053,7.04
W2_35,S12_C_N_6,W2,SS,AC12,C,Control,11.6,5.323,6.277
W2_37,S12_H_N_8,W2,SS,AC12,H,Heat,11,4.065,4.99
W2_40,K8_C_N_5,W2,KL,AC8,C,Control,6,1.989,2.437
W2_42,S8_H_N_5,W2,SS,AC8,H,Heat,10.5,4.6,5.821
W2_43,S10_H_N_7,W2,SS,AC10,H,Heat,4.8,1.739,2.101
W2_44,K10_H_N_5,W2,KL,AC10,H,Heat,6,3.428,3.841
W2_45,K12_C_N_5,W2,KL,AC12,C,Control,16,6.871,8.066
W2_47,K8_H_N_6,W2,KL,AC8,H,Heat,7.8,5.038,5.915
W2_48,S8_H_N_7,W2,SS,AC8,H,Heat,15,5.697,6.974
W2_49,S12_H_N_5,W2,SS,AC12,H,Heat,17,5.15,6.264
W2_50,K10_H_N_6,W2,KL,AC10,H,Heat,8.5,2.644,3.145
W2_51,K12_H_N_8,W2,KL,AC12,H,Heat,9.9,3.026,3.612
W2_53,K8_H_N_7,W2,KL,AC8,H,Heat,7,2.391,2.963
W2_54,S10_H_N_5,W2,SS,AC10,H,Heat,6,1.768,2.151
