"RandN","ID","TimeP","Site","Genotype","Treat","Treatment","Seas","Set","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"M1_10","S12_H_N_12","M1","SS","AC12","H","Heat","Summer2","M1.SS.AC12.H",30.3088710092738,0.106853644675263,0.132516318366694
"M1_13","K8_C_N_10","M1","KL","AC8","C","Control","Summer2","M1.KL.AC8.C",38.4218208369547,1.18959310979276,0.640432948360766
"M1_14","K12_C_N_10","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",32.337108466194,1.16125936365824,0.788513080155464
"M1_17","K8_H_N_9","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",18.0099843024173,0.0428758100895748,0.0578905557324701
"M1_18","K12_C_N_11","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",15.3344370188204,0.902098980420481,0.6920916618572
"M1_19","K8_C_N_11","M1","KL","AC8","C","Control","Summer2","M1.KL.AC8.C",42.3919877739049,1.06608069999066,0.746096648467839
"M1_2","K8_C_N_12","M1","KL","AC8","C","Control","Summer2","M1.KL.AC8.C",34.4948078884496,0.943304378982464,0.138598162815131
"M1_20","K10_C_N_9","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",22.8432310082697,0.768627987008946,0.537728222227108
"M1_21","S8_C_N_10","M1","SS","AC8","C","Control","Summer2","M1.SS.AC8.C",74.4985551770673,1.42846618184382,0.998491847569389
"M1_23","S10_C_N_11","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",52.1447891624999,1.07709068477848,0.752669646006071
"M1_28","K8_H_N_11","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",39.4575165596373,0.0700991912610483,0.0754099664509486
"M1_30","S8_H_N_9","M1","SS","AC8","H","Heat","Summer2","M1.SS.AC8.H",43.211913554362,0.258776243560681,0.24820377339937
"M1_33","K12_H_N_10","M1","KL","AC12","H","Heat","Summer2","M1.KL.AC12.H",28.0648636101281,0.0418131374626212,0.0362609993099252
"M1_35","S10_C_N_12","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",43.211913554362,0.987226202784697,0.698112106561753
"M1_37","S10_H_N_11","M1","SS","AC10","H","Heat","Summer2","M1.SS.AC10.H",50.7207075438112,0.298498070443039,0.489031230066634
"M1_41","S12_H_N_9","M1","SS","AC12","H","Heat","Summer2","M1.SS.AC12.H",50.2028596824699,0.32910210237358,0.370792024951121
"M1_42","S12_H_N_11","M1","SS","AC12","H","Heat","Summer2","M1.SS.AC12.H",32.0781845355234,0.11915314791066,0.129269784435834
"M1_46","S12_C_N_10","M1","SS","AC12","C","Control","Summer2","M1.SS.AC12.C",36.9545852298209,1.76772200058731,1.02121941743636
"M1_47","K10_C_N_12","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",26.5113200261041,0.493259734098134,0.306792720694083
"M1_49","S8_C_N_9","M1","SS","AC8","C","Control","Summer2","M1.SS.AC8.C",73.247089512159,1.3878940539081,0.714995781386049
