"ID","RandN","TimeP","Site","Genotype","Treat","Treatment","Set","Score_Full","Score_TP","Score_Set","Score_Seas","AnSet","Season"
"K10_C_N_1","W1_65","W1","KL","AC10","C","Control","W1.KL.AC10.C",18.5949579841572,21.9182646028966,20.648233779476,20.3494046117223,"Initial","Summer"
"K10_C_N_10","M1_7","M1","KL","AC10","C","Control","M1.KL.AC10.C",22.7703262173715,20.1872111562556,23.0853581596759,23.4223293663633,"Initial","Summer"
"K10_C_N_11","M1_79","M1","KL","AC10","C","Control","M1.KL.AC10.C",24.8970556339313,21.2423145949775,24.2449938260364,24.9994795993306,"Initial","Summer"
"K10_C_N_12","M1_47","M1","KL","AC10","C","Control","M1.KL.AC10.C",25.1147848575072,21.4732827139755,24.3470222328954,25.1565286091947,"Initial","Summer"
"K10_C_N_13","M4_36","M4","KL","AC10","C","Control","M4.KL.AC10.C",21.1999890986842,19.4668603480763,17.9704243978385,19.4668603480763,"Seasonal","Winter"
"K10_C_N_14","M4_45","M4","KL","AC10","C","Control","M4.KL.AC10.C",20.1007906475433,19.0071782494005,17.3883719024357,19.0071782494005,"Seasonal","Winter"
"K10_C_N_15","M4_2","M4","KL","AC10","C","Control","M4.KL.AC10.C",21.6655601695524,19.6665628163543,18.2341294356341,19.6665628163543,"Seasonal","Winter"
"K10_C_N_16","M4_77","M4","KL","AC10","C","Control","M4.KL.AC10.C",22.0318449335837,19.8437715849278,18.479306945315,19.8437715849278,"Seasonal","Winter"
"K10_C_N_17","M8_54","M8","KL","AC10","C","Control","M8.KL.AC10.C",25.2605677459589,19.98938171023,21.4386790042499,19.98938171023,"Seasonal","Spring"
"K10_C_N_18","M8_75","M8","KL","AC10","C","Control","M8.KL.AC10.C",24.8475791173909,19.3631666926167,20.7579242656367,19.3631666926167,"Seasonal","Spring"
"K10_C_N_19","M8_17","M8","KL","AC10","C","Control","M8.KL.AC10.C",24.7476748275252,19.2915117833665,20.6602101422008,19.2915117833665,"Seasonal","Spring"
"K10_C_N_2","W1_9","W1","KL","AC10","C","Control","W1.KL.AC10.C",14.3896210299885,20.6501925885442,17.8189021238239,17.0707165946284,"Initial","Summer"
"K10_C_N_20","M8_48","M8","KL","AC10","C","Control","M8.KL.AC10.C",25.1653171775855,19.9333521117991,21.358745766842,19.9333521117991,"Seasonal","Spring"
"K10_C_N_21","M12_2","M12","KL","AC10","C","Control","M12.KL.AC10.C",23.8721448013528,22.0534667567478,22.0534667567478,24.2979072320381,"Annual","Summer"
"K10_C_N_22","M12_55","M12","KL","AC10","C","Control","M12.KL.AC10.C",23.643003990609,21.9504400406538,21.9504400406538,24.1365789921455,"Annual","Summer"
"K10_C_N_23","M12_92","M12","KL","AC10","C","Control","M12.KL.AC10.C",20.9792741269375,20.7060693328146,20.7060693328146,22.204951235379,"Annual","Summer"
"K10_C_N_24","M12_58","M12","KL","AC10","C","Control","M12.KL.AC10.C",20.7792427364953,20.6253745286886,20.6253745286886,22.0610956419922,"Annual","Summer"
"K10_C_N_3","W1_85","W1","KL","AC10","C","Control","W1.KL.AC10.C",12.5861480844871,19.9417789225234,16.5536916818795,15.6277931143906,"Initial","Summer"
"K10_C_N_4","W1_88","W1","KL","AC10","C","Control","W1.KL.AC10.C",14.7671051408643,20.7875382383523,18.0627808673185,17.3124107819041,"Initial","Summer"
"K10_C_N_5","W2_27","W2","KL","AC10","C","Control","W2.KL.AC10.C",17.5565289615516,20.1837305810448,19.972356611469,19.5589495886096,"Initial","Summer"
"K10_C_N_6","W2_93","W2","KL","AC10","C","Control","W2.KL.AC10.C",21.5082353063547,21.6101677239268,22.4553890197494,22.5775520513805,"Initial","Summer"
"K10_C_N_7","W2_73","W2","KL","AC10","C","Control","W2.KL.AC10.C",20.4381556499116,21.2837564864084,21.8240154300545,21.7982569435054,"Initial","Summer"
"K10_C_N_8","W2_10","W2","KL","AC10","C","Control","W2.KL.AC10.C",17.9999531410761,20.3654452454926,20.2712218023519,19.9189065646992,"Initial","Summer"
"K10_C_N_9","M1_20","M1","KL","AC10","C","Control","M1.KL.AC10.C",24.2733319647877,20.871015039971,23.9362126144457,24.531527851243,"Initial","Summer"
"K10_H_N_1","W1_7","W1","KL","AC10","H","Heat","W1.KL.AC10.H",6.85750102118777,17.3416365194986,12.621661274477,11.3864115507791,"Initial","Summer"
"K10_H_N_10","M1_89","M1","KL","AC10","H","Heat","M1.KL.AC10.H",23.6248730508899,20.5610991846059,23.5978730374518,24.061205038091,"Initial","Summer"
"K10_H_N_11","M1_91","M1","KL","AC10","H","Heat","M1.KL.AC10.H",21.7039994728354,19.6558468383367,22.5022212765523,22.6520722060983,"Initial","Summer"
"K10_H_N_12","M1_50","M1","KL","AC10","H","Heat","M1.KL.AC10.H",22.6993008654285,20.1152631184125,23.0885919148089,23.3924986422163,"Initial","Summer"
"K10_H_N_13","M4_79","M4","KL","AC10","H","Heat","M4.KL.AC10.H",19.1604107570421,18.6513033771849,16.9634047015427,18.6513033771849,"Seasonal","Winter"
"K10_H_N_14","M4_88","M4","KL","AC10","H","Heat","M4.KL.AC10.H",22.4633414984396,20.0044107045878,18.727881835476,20.0044107045878,"Seasonal","Winter"
"K10_H_N_15","M4_27","M4","KL","AC10","H","Heat","M4.KL.AC10.H",23.9971828603867,20.7624651039397,19.9520271113847,20.7624651039397,"Seasonal","Winter"
"K10_H_N_16","M4_6","M4","KL","AC10","H","Heat","M4.KL.AC10.H",23.8702698800066,20.6810992272723,19.7562772225864,20.6810992272723,"Seasonal","Winter"
"K10_H_N_17","M8_35","M8","KL","AC10","H","Heat","M8.KL.AC10.H",25.153866687754,20.0610499302613,21.4223994194451,20.0610499302613,"Seasonal","Spring"
"K10_H_N_18","M8_55","M8","KL","AC10","H","Heat","M8.KL.AC10.H",23.3973130884785,18.778009246768,19.3823732673676,18.778009246768,"Seasonal","Spring"
"K10_H_N_19","M8_91","M8","KL","AC10","H","Heat","M8.KL.AC10.H",24.4111776014789,20.9956271069528,21.5317157240026,20.9956271069528,"Seasonal","Spring"
"K10_H_N_2","W1_41","W1","KL","AC10","H","Heat","W1.KL.AC10.H",10.1248350706018,18.8120758210726,14.8105107016525,13.6827663370272,"Initial","Summer"
"K10_H_N_20","M8_58","M8","KL","AC10","H","Heat","M8.KL.AC10.H",25.0017696121147,19.6476990509281,21.0798146893221,19.6476990509281,"Seasonal","Spring"
"K10_H_N_21","M12_36","M12","KL","AC10","H","Heat","M12.KL.AC10.H",13.0860168919419,17.3607006524389,17.3607006524389,15.9424742237782,"Annual","Summer"
