"ID","TimeP","Site","Genotype","Treat","Treatment","Seas","Set","Score_Full","Score_TP","RandN","SA_cm2","Chl_ug.cm2","Sym10.6_cm2"
"K10_C_N_10","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",19.689395065728,20.3925701942221,"M1_7",27.1154758643357,0.750787979351293,0.131637298856877
"K10_C_N_11","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",20.8094022393676,20.3816747585443,"M1_79",25.9503181763177,0.61526541697297,0.423508102109887
"K10_C_N_12","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",20.7224090104235,20.4306596031066,"M1_47",26.5113200261041,0.493259734098134,0.306792720694083
"K10_C_N_13","M4","KL","AC10","C","Control","Winter","M4.KL.AC10.C",20.064318459381,20.7597903741012,"M4_36",22.1096132047028,0.910158391903468,0.225227820762635
"K10_C_N_14","M4","KL","AC10","C","Control","Winter","M4.KL.AC10.C",19.7870790064689,20.1894348452679,"M4_45",18.3120622215331,0.633343923421989,0.178920318223214
"K10_C_N_15","M4","KL","AC10","C","Control","Winter","M4.KL.AC10.C",20.354877981929,21.4660029650415,"M4_2",17.9668303139722,0.401439200680324,0.125000178704503
"K10_C_N_16","M4","KL","AC10","C","Control","Winter","M4.KL.AC10.C",20.3431465364517,21.3365292565112,"M4_77",15.7659769032715,0.70821808686546,0.356096170535111
"K10_C_N_5","W2","KL","AC10","C","Control","Summer1","W2.KL.AC10.C",19.917021370858,19.9338384256461,"W2_27",26.5544740145492,0.504369997788764,0.717935967760257
"K10_C_N_6","W2","KL","AC10","C","Control","Summer1","W2.KL.AC10.C",20.2998112106605,21.0525885299682,"W2_93",37.6882030333878,0.565060105973583,0.335438757554995
"K10_C_N_7","W2","KL","AC10","C","Control","Summer1","W2.KL.AC10.C",20.3364121139333,20.6646190745462,"W2_73",35.7894275418029,0.404193388762744,0.449082343695692
"K10_C_N_8","W2","KL","AC10","C","Control","Summer1","W2.KL.AC10.C",19.9559834290231,20.2154571978307,"W2_10",28.0648636101281,0.331809914680626,0.388038229983413
"K10_C_N_9","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",20.34761625441,19.8305174592522,"M1_20",22.8432310082697,0.768627987008946,0.537728222227108
"K10_H_N_10","M1","KL","AC10","H","Heat","Summer2","M1.KL.AC10.H",19.8174336483772,19.2597310995806,"M1_89",25.691394245647,0.172994893056575,0.301722044583602
"K10_H_N_11","M1","KL","AC10","H","Heat","Summer2","M1.KL.AC10.H",18.9031632443812,18.8009750761126,"M1_91",33.1570342466512,0.236365631347891,0.316178308410042
"K10_H_N_12","M1","KL","AC10","H","Heat","Summer2","M1.KL.AC10.H",19.3056433692216,18.7589817872269,"M1_50",21.7643812971419,0.188473081039922,0.223375061005682
"K10_H_N_13","M4","KL","AC10","H","Heat","Winter","M4.KL.AC10.H",19.4434554764675,19.0223227466894,"M4_79",16.2838247646129,0.132431008347602,0.249936735308313
"K10_H_N_14","M4","KL","AC10","H","Heat","Winter","M4.KL.AC10.H",20.1778575910956,19.9989980674968,"M4_88",28.021709621683,0.209606911187713,0.469351234366623
"K10_H_N_15","M4","KL","AC10","H","Heat","Winter","M4.KL.AC10.H",20.4416858352919,20.2350157781223,"M4_27",17.4489824526308,0.134800601680856,0.154104115085208
"K10_H_N_16","M4","KL","AC10","H","Heat","Winter","M4.KL.AC10.H",20.4944026871349,20.2821193453283,"M4_6",18.1826002561977,0.153861381792541,0.167616950109276
"K10_H_N_5","W2","KL","AC10","H","Heat","Summer1","W2.KL.AC10.H",18.9066652157092,18.7582293052056,"W2_44",19.0456800251,0.113308634669697,0.331716168268811
"K10_H_N_6","W2","KL","AC10","H","Heat","Summer1","W2.KL.AC10.H",18.3992980499866,18.1467070727489,"W2_50",22.8432310082697,0.0511962018964519,0.245408366179484
"K10_H_N_7","W2","KL","AC10","H","Heat","Summer1","W2.KL.AC10.H",18.4855268630707,19.5867248586263,"W2_21",27.7627856910123,0.0853210490605357,0.296209468730014
"K10_H_N_8","W2","KL","AC10","H","Heat","Summer1","W2.KL.AC10.H",19.2900154501149,19.3606185343097,"W2_68",31.0856428012859,0.117281366512899,0.325849462555782
"K10_H_N_9","M1","KL","AC10","H","Heat","Summer2","M1.KL.AC10.H",19.7802179950152,19.5143748793853,"M1_53",27.9785556332379,0.213881662743556,0.292730622243782
"K12_C_N_10","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",20.6477592528851,20.8712466964729,"M1_14",32.337108466194,1.16125936365824,0.788513080155464
"K12_C_N_11","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",21.035390595404,20.8725644376694,"M1_18",15.3344370188204,0.902098980420481,0.6920916618572
"K12_C_N_12","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",21.4416944684517,21.5441134652872,"M1_93",32.2508004893038,0.941906853136088,0.35440872246848
"K12_C_N_13","M4","KL","AC12","C","Control","Winter","M4.KL.AC12.C",20.3926141090413,20.8273341177724,"M4_21",23.1884629158306,0.731732416313642,0.0812861122723746
"K12_C_N_14","M4","KL","AC12","C","Control","Winter","M4.KL.AC12.C",20.8177920407191,20.9064869562027,"M4_20",25.303008349641,1.08851351926529,0.248915856682684
"K12_C_N_15","M4","KL","AC12","C","Control","Winter","M4.KL.AC12.C",20.1216778996739,18.9523929723353,"M4_24",20.2108377131179,1.00520161286934,0.156900473152668
"K12_C_N_16","M4","KL","AC12","C","Control","Winter","M4.KL.AC12.C",21.2566440358273,21.1817566134863,"M4_18",25.1735463843057,1.07563271327084,0.140711997663086
"K12_C_N_5","W2","KL","AC12","C","Control","Summer1","W2.KL.AC12.C",20.5292799831297,20.3969507240607,"W2_45",52.7920989891766,0.60680292341791,0.564593576893217
"K12_C_N_6","W2","KL","AC12","C","Control","Summer1","W2.KL.AC12.C",19.8316067466897,20.6037811807851,"W2_61",24.5693905460741,0.368822064036964,0.283277681916783
"K12_C_N_7","W2","KL","AC12","C","Control","Summer1","W2.KL.AC12.C",20.6395634221165,20.3306134092054,"W2_90",21.4623033780261,0.813519392232437,0.296696952225527
"K12_C_N_8","W2","KL","AC12","C","Control","Summer1","W2.KL.AC12.C",19.6894333857193,21.0075492493465,"W2_15",26.2523960954334,0.797845648978434,0.639732233924406
