"ID","TimeP","Site","Genotype","Treat","Treatment","Seas","Set","Score_Full","Score_TP"
"K10_C_N_10","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",19.689395065728,20.3925701942221
"K10_C_N_11","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",20.8094022393676,20.3816747585443
"K10_C_N_12","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",20.7224090104235,20.4306596031066
"K10_C_N_13","M4","KL","AC10","C","Control","Winter","M4.KL.AC10.C",20.064318459381,20.7597903741012
"K10_C_N_14","M4","KL","AC10","C","Control","Winter","M4.KL.AC10.C",19.7870790064689,20.1894348452679
"K10_C_N_15","M4","KL","AC10","C","Control","Winter","M4.KL.AC10.C",20.354877981929,21.4660029650415
"K10_C_N_16","M4","KL","AC10","C","Control","Winter","M4.KL.AC10.C",20.3431465364517,21.3365292565112
"K10_C_N_5","W2","KL","AC10","C","Control","Summer1","W2.KL.AC10.C",19.917021370858,19.9338384256461
"K10_C_N_6","W2","KL","AC10","C","Control","Summer1","W2.KL.AC10.C",20.2998112106605,21.0525885299682
"K10_C_N_7","W2","KL","AC10","C","Control","Summer1","W2.KL.AC10.C",20.3364121139333,20.6646190745462
"K10_C_N_8","W2","KL","AC10","C","Control","Summer1","W2.KL.AC10.C",19.9559834290231,20.2154571978307
"K10_C_N_9","M1","KL","AC10","C","Control","Summer2","M1.KL.AC10.C",20.34761625441,19.8305174592522
"K10_H_N_10","M1","KL","AC10","H","Heat","Summer2","M1.KL.AC10.H",19.8174336483772,19.2597310995806
"K10_H_N_11","M1","KL","AC10","H","Heat","Summer2","M1.KL.AC10.H",18.9031632443812,18.8009750761126
"K10_H_N_12","M1","KL","AC10","H","Heat","Summer2","M1.KL.AC10.H",19.3056433692216,18.7589817872269
"K10_H_N_13","M4","KL","AC10","H","Heat","Winter","M4.KL.AC10.H",19.4434554764675,19.0223227466894
"K10_H_N_14","M4","KL","AC10","H","Heat","Winter","M4.KL.AC10.H",20.1778575910956,19.9989980674968
"K10_H_N_15","M4","KL","AC10","H","Heat","Winter","M4.KL.AC10.H",20.4416858352919,20.2350157781223
"K10_H_N_16","M4","KL","AC10","H","Heat","Winter","M4.KL.AC10.H",20.4944026871349,20.2821193453283
"K10_H_N_5","W2","KL","AC10","H","Heat","Summer1","W2.KL.AC10.H",18.9066652157092,18.7582293052056
"K10_H_N_6","W2","KL","AC10","H","Heat","Summer1","W2.KL.AC10.H",18.3992980499866,18.1467070727489
"K10_H_N_7","W2","KL","AC10","H","Heat","Summer1","W2.KL.AC10.H",18.4855268630707,19.5867248586263
"K10_H_N_8","W2","KL","AC10","H","Heat","Summer1","W2.KL.AC10.H",19.2900154501149,19.3606185343097
"K10_H_N_9","M1","KL","AC10","H","Heat","Summer2","M1.KL.AC10.H",19.7802179950152,19.5143748793853
"K12_C_N_10","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",20.6477592528851,20.8712466964729
"K12_C_N_11","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",21.035390595404,20.8725644376694
"K12_C_N_12","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",21.4416944684517,21.5441134652872
"K12_C_N_13","M4","KL","AC12","C","Control","Winter","M4.KL.AC12.C",20.3926141090413,20.8273341177724
"K12_C_N_14","M4","KL","AC12","C","Control","Winter","M4.KL.AC12.C",20.8177920407191,20.9064869562027
"K12_C_N_15","M4","KL","AC12","C","Control","Winter","M4.KL.AC12.C",20.1216778996739,18.9523929723353
"K12_C_N_16","M4","KL","AC12","C","Control","Winter","M4.KL.AC12.C",21.2566440358273,21.1817566134863
"K12_C_N_5","W2","KL","AC12","C","Control","Summer1","W2.KL.AC12.C",20.5292799831297,20.3969507240607
"K12_C_N_6","W2","KL","AC12","C","Control","Summer1","W2.KL.AC12.C",19.8316067466897,20.6037811807851
"K12_C_N_7","W2","KL","AC12","C","Control","Summer1","W2.KL.AC12.C",20.6395634221165,20.3306134092054
"K12_C_N_8","W2","KL","AC12","C","Control","Summer1","W2.KL.AC12.C",19.6894333857193,21.0075492493465
"K12_C_N_9","M1","KL","AC12","C","Control","Summer2","M1.KL.AC12.C",21.1868229167967,21.2761771593238
"K12_H_N_11","M1","KL","AC12","H","Heat","Summer2","M1.KL.AC12.H",16.881395416731,17.1914045366166
"K12_H_N_12","M1","KL","AC12","H","Heat","Summer2","M1.KL.AC12.H",18.5748278849824,18.020008638704
"K12_H_N_13","M4","KL","AC12","H","Heat","Winter","M4.KL.AC12.H",18.3395221478186,16.7754553014204
"K12_H_N_14","M4","KL","AC12","H","Heat","Winter","M4.KL.AC12.H",19.2276898536579,18.7947282605875
"K12_H_N_15","M4","KL","AC12","H","Heat","Winter","M4.KL.AC12.H",20.52659797675,21.3745863796405
"K12_H_N_16","M4","KL","AC12","H","Heat","Winter","M4.KL.AC12.H",20.107349526993,19.8308730977031
"K12_H_N_5","W2","KL","AC12","H","Heat","Summer1","W2.KL.AC12.H",17.2355495584742,17.4076124888873
"K12_H_N_6","W2","KL","AC12","H","Heat","Summer1","W2.KL.AC12.H",18.9745563571471,18.3129544918397
"K12_H_N_7","W2","KL","AC12","H","Heat","Summer1","W2.KL.AC12.H",19.5437422122164,20.2151866197715
"K12_H_N_8","W2","KL","AC12","H","Heat","Summer1","W2.KL.AC12.H",19.1401960846517,18.6767951274532
"K12_H_N_9","M1","KL","AC12","H","Heat","Summer2","M1.KL.AC12.H",18.226051769288,18.1996136360614
"K8_C_N_10","M1","KL","AC8","C","Control","Summer2","M1.KL.AC8.C",20.8024058057036,20.6701135432606
"K8_C_N_11","M1","KL","AC8","C","Control","Summer2","M1.KL.AC8.C",20.5748604835267,21.2477604046822
"K8_C_N_12","M1","KL","AC8","C","Control","Summer2","M1.KL.AC8.C",20.9844429266743,21.704859324388
"K8_C_N_13","M4","KL","AC8","C","Control","Winter","M4.KL.AC8.C",20.2943490723416,21.5268749311448
"K8_C_N_14","M4","KL","AC8","C","Control","Winter","M4.KL.AC8.C",19.5240582956088,19.6190853394741
"K8_C_N_15","M4","KL","AC8","C","Control","Winter","M4.KL.AC8.C",20.149060720639,20.620316114924
"K8_C_N_16","M4","KL","AC8","C","Control","Winter","M4.KL.AC8.C",20.5836643539482,20.9515905542825
"K8_C_N_5","W2","KL","AC8","C","Control","Summer1","W2.KL.AC8.C",20.8020494593275,20.5209095013086
"K8_C_N_6","W2","KL","AC8","C","Control","Summer1","W2.KL.AC8.C",20.8768815231638,20.7924202313813
"K8_C_N_7","W2","KL","AC8","C","Control","Summer1","W2.KL.AC8.C",20.6685273545652,20.6908773139703
"K8_C_N_8","W2","KL","AC8","C","Control","Summer1","W2.KL.AC8.C",19.9857235985123,20.5358007270202
"K8_H_N_10","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",17.8072131297153,17.7045718235684
"K8_H_N_11","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",17.6346189616316,17.3214593963311
"K8_H_N_12","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",15.7149617210482,16.5221611337795
"K8_H_N_13","M4","KL","AC8","H","Heat","Winter","M4.KL.AC8.H",18.5504439828189,17.5940242288745
"K8_H_N_14","M4","KL","AC8","H","Heat","Winter","M4.KL.AC8.H",18.7862111348386,18.7905149772553
"K8_H_N_15","M4","KL","AC8","H","Heat","Winter","M4.KL.AC8.H",18.3856274152295,17.5879106329631
"K8_H_N_16","M4","KL","AC8","H","Heat","Winter","M4.KL.AC8.H",18.3114529114794,17.3461874707141
"K8_H_N_5","W2","KL","AC8","H","Heat","Summer1","W2.KL.AC8.H",16.7461264349537,17.5917912352458
"K8_H_N_6","W2","KL","AC8","H","Heat","Summer1","W2.KL.AC8.H",17.8387189538253,17.9691851197988
"K8_H_N_7","W2","KL","AC8","H","Heat","Summer1","W2.KL.AC8.H",16.6492033354465,16.9521655799324
"K8_H_N_8","W2","KL","AC8","H","Heat","Summer1","W2.KL.AC8.H",16.6425232435036,16.156093311249
"K8_H_N_9","M1","KL","AC8","H","Heat","Summer2","M1.KL.AC8.H",17.5310424155121,17.5382086898613
"S10_C_N_10","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",21.5959952429646,21.5244234129222
"S10_C_N_11","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",21.2125664855146,21.5716101266298
"S10_C_N_12","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",21.0732547944957,21.0155301775656
"S10_C_N_13","M4","SS","AC10","C","Control","Winter","M4.SS.AC10.C",21.0503127526454,21.3301454556718
"S10_C_N_14","M4","SS","AC10","C","Control","Winter","M4.SS.AC10.C",20.8664246938423,19.8784439304575
"S10_C_N_15","M4","SS","AC10","C","Control","Winter","M4.SS.AC10.C",20.4304124182296,19.679460967686
"S10_C_N_16","M4","SS","AC10","C","Control","Winter","M4.SS.AC10.C",20.5078680505276,20.6103223011874
"S10_C_N_5","W2","SS","AC10","C","Control","Summer1","W2.SS.AC10.C",20.4952358663782,21.320557411438
"S10_C_N_6","W2","SS","AC10","C","Control","Summer1","W2.SS.AC10.C",21.2086848878929,20.9396761444526
"S10_C_N_7","W2","SS","AC10","C","Control","Summer1","W2.SS.AC10.C",21.0831085999767,21.6610294951618
"S10_C_N_8","W2","SS","AC10","C","Control","Summer1","W2.SS.AC10.C",20.6050343330855,21.7784467545633
"S10_C_N_9","M1","SS","AC10","C","Control","Summer2","M1.SS.AC10.C",20.8324445920046,20.5305206307944
"S10_H_N_10","M1","SS","AC10","H","Heat","Summer2","M1.SS.AC10.H",20.124488099798,20.0975560467468
"S10_H_N_11","M1","SS","AC10","H","Heat","Summer2","M1.SS.AC10.H",20.3258116701546,20.5999302848382
"S10_H_N_12","M1","SS","AC10","H","Heat","Summer2","M1.SS.AC10.H",20.3531256675171,20.5539938955051
"S10_H_N_13","M4","SS","AC10","H","Heat","Winter","M4.SS.AC10.H",20.6595933117544,20.2702473072535
"S10_H_N_14","M4","SS","AC10","H","Heat","Winter","M4.SS.AC10.H",20.3863696006066,19.6938782761119
"S10_H_N_15","M4","SS","AC10","H","Heat","Winter","M4.SS.AC10.H",20.5085240393949,20.1995531289821
"S10_H_N_16","M4","SS","AC10","H","Heat","Winter","M4.SS.AC10.H",20.4630552845059,20.1348425760363
"S10_H_N_5","W2","SS","AC10","H","Heat","Summer1","W2.SS.AC10.H",20.2827358800942,19.7553881069332
"S10_H_N_6","W2","SS","AC10","H","Heat","Summer1","W2.SS.AC10.H",20.5860315119147,20.6407488433882
"S10_H_N_7","W2","SS","AC10","H","Heat","Summer1","W2.SS.AC10.H",20.0197095053419,20.1460544759317
"S10_H_N_8","W2","SS","AC10","H","Heat","Summer1","W2.SS.AC10.H",20.3625396732497,20.9140149363601
"S10_H_N_9","M1","SS","AC10","H","Heat","Summer2","M1.SS.AC10.H",20.7203293275726,20.4362354102025
"S12_C_N_10","M1","SS","AC12","C","Control","Summer2","M1.SS.AC12.C",22.0077797982974,22.9751490592608
"S12_C_N_11","M1","SS","AC12","C","Control","Summer2","M1.SS.AC12.C",21.8441141971956,22.6212718103191
"S12_C_N_13","M4","SS","AC12","C","Control","Winter","M4.SS.AC12.C",21.6504972923888,21.5276505333144
"S12_C_N_14","M4","SS","AC12","C","Control","Winter","M4.SS.AC12.C",21.4525018788405,20.8881424537992
"S12_C_N_15","M4","SS","AC12","C","Control","Winter","M4.SS.AC12.C",21.8326898859209,21.2918013094233
"S12_C_N_16","M4","SS","AC12","C","Control","Winter","M4.SS.AC12.C",21.386367493009,21.2499983630596
"S12_C_N_5","W2","SS","AC12","C","Control","Summer1","W2.SS.AC12.C",21.716464972904,21.5712274374751
"S12_C_N_6","W2","SS","AC12","C","Control","Summer1","W2.SS.AC12.C",21.8973960262581,21.3708510585884
"S12_C_N_7","W2","SS","AC12","C","Control","Summer1","W2.SS.AC12.C",21.3743747428468,21.4399388956985
"S12_C_N_8","W2","SS","AC12","C","Control","Summer1","W2.SS.AC12.C",21.8142686384182,21.7590050939244
"S12_C_N_9","M1","SS","AC12","C","Control","Summer2","M1.SS.AC12.C",20.7279475841657,21.9685443327074
"S12_H_N_11","M1","SS","AC12","H","Heat","Summer2","M1.SS.AC12.H",15.7643746034049,17.8339914549089
"S12_H_N_12","M1","SS","AC12","H","Heat","Summer2","M1.SS.AC12.H",17.8815225318901,18.441441551758
"S12_H_N_13","M4","SS","AC12","H","Heat","Winter","M4.SS.AC12.H",21.2550914170979,20.3102237756115
"S12_H_N_14","M4","SS","AC12","H","Heat","Winter","M4.SS.AC12.H",20.4000976693727,19.698729590903
"S12_H_N_15","M4","SS","AC12","H","Heat","Winter","M4.SS.AC12.H",20.4070518056806,18.2722473207381
"S12_H_N_16","M4","SS","AC12","H","Heat","Winter","M4.SS.AC12.H",19.9741486305192,18.1390853613517
"S12_H_N_5","W2","SS","AC12","H","Heat","Summer1","W2.SS.AC12.H",20.9327384901362,20.9041570410304
"S12_H_N_6","W2","SS","AC12","H","Heat","Summer1","W2.SS.AC12.H",19.0302677461303,19.2246458773445
"S12_H_N_7","W2","SS","AC12","H","Heat","Summer1","W2.SS.AC12.H",18.8147521958038,18.7119951528122
"S12_H_N_8","W2","SS","AC12","H","Heat","Summer1","W2.SS.AC12.H",20.9758765082178,20.9408221173855
"S12_H_N_9","M1","SS","AC12","H","Heat","Summer2","M1.SS.AC12.H",20.4230866234301,20.5546228499814
"S8_C_N_10","M1","SS","AC8","C","Control","Summer2","M1.SS.AC8.C",21.2312115955907,21.5020591843364
"S8_C_N_11","M1","SS","AC8","C","Control","Summer2","M1.SS.AC8.C",21.1926020676432,21.1459581197196
"S8_C_N_12","M1","SS","AC8","C","Control","Summer2","M1.SS.AC8.C",21.4975246707639,21.7425458244488
"S8_C_N_13","M4","SS","AC8","C","Control","Winter","M4.SS.AC8.C",21.4554009939045,21.4501478010784
"S8_C_N_14","M4","SS","AC8","C","Control","Winter","M4.SS.AC8.C",21.3310634258127,21.353613147728
"S8_C_N_15","M4","SS","AC8","C","Control","Winter","M4.SS.AC8.C",21.265403229242,21.6307911531635
"S8_C_N_16","M4","SS","AC8","C","Control","Winter","M4.SS.AC8.C",21.1623391273028,21.8139958284947
"S8_C_N_5","W2","SS","AC8","C","Control","Summer1","W2.SS.AC8.C",21.2278888298218,21.6526704079152
"S8_C_N_6","W2","SS","AC8","C","Control","Summer1","W2.SS.AC8.C",21.4486255715401,21.5072001317918
"S8_C_N_7","W2","SS","AC8","C","Control","Summer1","W2.SS.AC8.C",21.382011841477,21.5578564300999
"S8_C_N_8","W2","SS","AC8","C","Control","Summer1","W2.SS.AC8.C",21.3434264821686,21.1385280915618
"S8_C_N_9","M1","SS","AC8","C","Control","Summer2","M1.SS.AC8.C",21.132315033961,21.491719053364
"S8_H_N_10","M1","SS","AC8","H","Heat","Summer2","M1.SS.AC8.H",18.8935870208941,18.6371920964548
"S8_H_N_11","M1","SS","AC8","H","Heat","Summer2","M1.SS.AC8.H",18.9763130742521,18.9388561424965
"S8_H_N_12","M1","SS","AC8","H","Heat","Summer2","M1.SS.AC8.H",18.1720767848641,18.1315814601516
